#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)
uniprotkb:P26006	uniprotkb:P30409	-	-	uniprotkb:ITA3_HUMAN|uniprotkb:ITGA3|uniprotkb:MSK18	uniprotkb:CD9_CERAE|uniprotkb:CD9	psi-mi:"MI:0019"(coimmunoprecipitation)|psi-mi:"MI:0030"(cross-linking study)	Nakamura K et al. (1995)	pubmed:7790364	taxid:9606(Homo sapiens)	taxid:9534(Cercopithecus aethiops)	psi-mi:"MI:0019"(association)|psi-mi:"MI:0030"(association)	psi-mi:"MI:0465"(DIP)	-	miscore:0.46174428
uniprotkb:P26010	uniprotkb:P13612	irefindex:Us10J4iGtwG4ykUQfOdteUQUBsk9606	irefindex:bK+3WmhddIahEt3v8ibNJFJxW7s9606	uniprotkb:ITB7_HUMAN|uniprotkb:ITGB7|uniprotkb:Gut homing receptor beta subunit|uniprotkb:itb7_human|intact:EBI-702932	uniprotkb:ITA4_HUMAN|uniprotkb:ITGA4|uniprotkb:CD49D|uniprotkb:Integrin alpha-IV|uniprotkb:VLA-4 subunit alpha|uniprotkb:CD49 antigen-like family member D|uniprotkb:ita4_human|intact:EBI-703044	psi-mi:"MI:0369"(lex-a dimerization assay)|psi-mi:"MI:0369"(lex-a dimerization assay)|MI:0000|MI:0493|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)	Chan BM et al. (1992)|Hilden TJ et al. (2003)|Tan K et al. (1998)|Schneider D et al. (2004)|Schneider et al. (2004)	pubmed:1373725|pubmed:12682249|pubmed:9655832|pubmed:14681217	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	psi-mi:"MI:0369"(physical association)|psi-mi:"MI:0369"(association)|psi-mi:"MI:0000"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)	psi-mi:"MI:0462"(BIND)|psi-mi:"MI:0468"(HPRD)|psi-mi:"MI:0469"(IntAct)	intact:EBI-703317|intact:EBI-703385	author-score:strong interaction(free-text)|intact-miscore:0.37(free-text)|miscore:0.74325156
uniprotkb:P05556	uniprotkb:P56199	irefindex:2FKk9AhWYRSp7hJpMkAGPNvdc/Q9606	irefindex:VUF3jMv1ubv5CmI8ObKPwyDMq9Y9606	uniprotkb:ITB1_HUMAN|uniprotkb:ITGB1|uniprotkb:FNRB|uniprotkb:MDF2|uniprotkb:MSK12|uniprotkb:Fibronectin receptor subunit beta|uniprotkb:VLA-4 subunit beta|uniprotkb:itb1_human|intact:EBI-703066	uniprotkb:ITA1_HUMAN|uniprotkb:ITGA1|uniprotkb:Laminin and collagen receptor|uniprotkb:VLA-1|uniprotkb:CD49 antigen-like family member A|uniprotkb:ita1_human|intact:EBI-2554465	MI:0000|MI:0493|MI:0493|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0013"(biophysical)|psi-mi:"MI:0364"(inferred by curator)	Hemler ME et al. (1987)|Setty S et al. (1995)|Briesewitz R et al. (1993)|Pfaff M et al. (1993)|Akimov SS et al. (2000)	pubmed:3546305|pubmed:8846021|pubmed:8428973|pubmed:8387021|pubmed:10684262|pubmed:14681455	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	psi-mi:"MI:0000"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0013"(association)|psi-mi:"MI:0364"(direct interaction)	psi-mi:"MI:0462"(BIND)|psi-mi:"MI:0465"(DIP)|psi-mi:"MI:0468"(HPRD)|psi-mi:"MI:0469"(intact)	intact:EBI-2554495	intact-miscore:0.31(free-text)|miscore:0.8326339
uniprotkb:P08648	uniprotkb:P16284	-	-	uniprotkb:ITA5_HUMAN|uniprotkb:ITGA5|uniprotkb:FNRA	uniprotkb:PECA1_HUMAN|uniprotkb:PECAM1	MI:0493|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)	Wong CW et al. (2000)|Zhao T et al. (2001)	pubmed:10982404|pubmed:11149921	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	psi-mi:"MI:0493"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)	psi-mi:"MI:0468"(HPRD)	-	miscore:0.5311911
uniprotkb:P08648	uniprotkb:P18084	-	-	uniprotkb:ITA5_HUMAN|uniprotkb:ITGA5|uniprotkb:FNRA	uniprotkb:ITB5_HUMAN|uniprotkb:ITGB5	MI:0492|MI:0493|MI:0493|psi-mi:"MI:0018"(two hybrid)	Hu DD et al. (1995)|Evans JP (2001)	pubmed:7592829|pubmed:11462216	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	psi-mi:"MI:0492"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0018"(association)	psi-mi:"MI:0468"(HPRD)|psi-mi:"MI:0463"(GRID)	-	miscore:0.513597
uniprotkb:P17301	uniprotkb:P03956	-	-	uniprotkb:ITA2_HUMAN|uniprotkb:ITGA2|uniprotkb:CD49B	uniprotkb:MMP1_HUMAN|uniprotkb:MMP1|uniprotkb:CLG	psi-mi:"MI:0019"(coimmunoprecipitation)|MI:0023|MI:10010	Dumin JA et al. (2001)|Stricker TP et al. (2001)	pubmed:11359786|pubmed:11359774	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	psi-mi:"MI:0019"(association)|psi-mi:"MI:0023"(association)|psi-mi:"MI:10010"(association)	psi-mi:"MI:0471"(MINT)|psi-mi:"MI:0463"(GRID)|psi-mi:"MI:0468"(HPRD)	-	miscore:0.51283145
uniprotkb:Q13683	uniprotkb:P05556	irefindex:2dCdMRbPubJgbrfevJ5cWh7up9M9606	irefindex:2FKk9AhWYRSp7hJpMkAGPNvdc/Q9606	uniprotkb:ITA7_HUMAN|uniprotkb:ITGA7|uniprotkb:UNQ406/PRO768|uniprotkb:ita7_human|intact:EBI-2565284	uniprotkb:ITB1_HUMAN|uniprotkb:ITGB1|uniprotkb:FNRB|uniprotkb:MDF2|uniprotkb:MSK12|uniprotkb:Fibronectin receptor subunit beta|uniprotkb:VLA-4 subunit beta|uniprotkb:itb1_human|intact:EBI-703066	MI:0493|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0364"(inferred by curator)	Tachibana I et al. (1999)|Sterk LM et al. (2002)|Li J et al. (2003)	pubmed:10459022|pubmed:11884516|pubmed:12941630|pubmed:14681455	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	psi-mi:"MI:0493"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0364"(direct interaction)	psi-mi:"MI:0468"(HPRD)|psi-mi:"MI:0469"(intact)	intact:EBI-2565379	intact-miscore:0.31(free-text)|miscore:0.6762772
uniprotkb:P05556	uniprotkb:P23229	irefindex:2FKk9AhWYRSp7hJpMkAGPNvdc/Q9606	irefindex:E1+7GXE8oOvpzVORzNGHIWNNhmI9606	uniprotkb:ITB1_HUMAN|uniprotkb:ITGB1|uniprotkb:FNRB|uniprotkb:MDF2|uniprotkb:MSK12|uniprotkb:Fibronectin receptor subunit beta|uniprotkb:VLA-4 subunit beta|uniprotkb:itb1_human|intact:EBI-703066	uniprotkb:ITA6_HUMAN|uniprotkb:ITGA6|uniprotkb:VLA-6|uniprotkb:CD49 antigen-like family member F|uniprotkb:ita6_human|intact:EBI-2436548	MI:0493|MI:0493|psi-mi:"MI:0858"(immunodepleted coimmunoprecipitation)|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0364"(inferred by curator)	Schmidt C et al. (1996)|Berditchevski F et al. (1997)|Sterk LM et al. (2002)|Nishida K et al. (1997)|Hemler et al. (1989)	pubmed:8838570|pubmed:9360995|pubmed:11884516|pubmed:9425259|pubmed:2649503|pubmed:14681455	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0858"(physical association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0364"(direct interaction)	psi-mi:"MI:0468"(HPRD)|psi-mi:"MI:0463"(GRID)|psi-mi:"MI:0469"(intact)	intact:EBI-2436623|intact:EBI-2565268	intact-miscore:0.55(free-text)|miscore:0.8305976
uniprotkb:P08962	uniprotkb:P23229	-	-	uniprotkb:CD63_HUMAN|uniprotkb:CD63|uniprotkb:MLA1|uniprotkb:TSPAN30	uniprotkb:ITA6_HUMAN|uniprotkb:ITGA6	MI:0492|psi-mi:"MI:0018"(two hybrid)	Berditchevski F et al. (1997)|Berditchevski F et al. (1995)	pubmed:9360995|pubmed:7629079	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	psi-mi:"MI:0492"(association)|psi-mi:"MI:0018"(association)	psi-mi:"MI:0468"(HPRD)|psi-mi:"MI:0463"(GRID)	-	miscore:0.43911052
uniprotkb:P23229	uniprotkb:P21926	-	-	uniprotkb:ITA6_HUMAN|uniprotkb:ITGA6	uniprotkb:CD9_HUMAN|uniprotkb:CD9|uniprotkb:MIC3|uniprotkb:TSPAN29|uniprotkb:GIG2	MI:0493|psi-mi:"MI:0018"(two hybrid)	Schmidt C et al. (1996)|Baudoux B et al. (2000)	pubmed:8838570|pubmed:10711425	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	psi-mi:"MI:0493"(association)|psi-mi:"MI:0018"(association)	psi-mi:"MI:0468"(HPRD)	-	miscore:0.43911052
uniprotkb:P48509	uniprotkb:P26006	-	-	uniprotkb:CD151_HUMAN|uniprotkb:CD151|uniprotkb:TSPAN24	uniprotkb:ITA3_HUMAN|uniprotkb:ITGA3|uniprotkb:MSK18	MI:0493|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)|MI:10010	Carloni V et al. (2004)|Sterk LM et al. (2000)|Yauch RL et al. (2000)	pubmed:14676841|pubmed:10811835|pubmed:10734060	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	psi-mi:"MI:0493"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:10010"(association)	psi-mi:"MI:0468"(HPRD)|psi-mi:"MI:0463"(GRID)	-	miscore:0.6070781
uniprotkb:P26006	uniprotkb:Q14192	-	-	uniprotkb:ITA3_HUMAN|uniprotkb:ITGA3|uniprotkb:MSK18	uniprotkb:FHL2_HUMAN|uniprotkb:FHL2|uniprotkb:DRAL|uniprotkb:SLIM3	psi-mi:"MI:0019"(coimmunoprecipitation)|psi-mi:"MI:0018"(two hybrid)	Wixler V et al. (2000)	pubmed:10906324	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	psi-mi:"MI:0019"(association)|psi-mi:"MI:0018"(association)	psi-mi:"MI:0465"(DIP)|psi-mi:"MI:0471"(MINT)|psi-mi:"MI:0468"(HPRD)|psi-mi:"MI:0463"(GRID)	-	miscore:0.44547057
uniprotkb:Q13477	uniprotkb:P13612	-	-	uniprotkb:MADCA_HUMAN|uniprotkb:MADCAM1	uniprotkb:ITA4_HUMAN|uniprotkb:ITGA4|uniprotkb:CD49D	MI:0492|MI:0493|MI:0493|psi-mi:"MI:0018"(two hybrid)	Tan K et al. (1998)|Shroff HN et al. (1998)|Ruiz-Velasco N et al. (2000)	pubmed:9655832|pubmed:9873398|pubmed:10702270	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	psi-mi:"MI:0492"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0018"(association)	psi-mi:"MI:0468"(HPRD)|psi-mi:"MI:0463"(GRID)	-	miscore:0.55971235
uniprotkb:P49023	uniprotkb:P13612	-	-	uniprotkb:PAXI_HUMAN|uniprotkb:PXN	uniprotkb:ITA4_HUMAN|uniprotkb:ITGA4|uniprotkb:CD49D	psi-mi:"MI:0018"(two hybrid)|MI:10010|MI:10010	Pinco KA et al. (2002)|Liu S et al. (2002)|Han J et al. (2001)	pubmed:12221126|pubmed:11919182|pubmed:11533025	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	psi-mi:"MI:0018"(association)|psi-mi:"MI:10010"(association)|psi-mi:"MI:10010"(association)	psi-mi:"MI:0468"(HPRD)|psi-mi:"MI:0463"(GRID)	-	miscore:0.5281048
uniprotkb:P08648	uniprotkb:P24821	-	-	uniprotkb:ITA5_HUMAN|uniprotkb:ITGA5|uniprotkb:FNRA	uniprotkb:TENA_HUMAN|uniprotkb:TNC|uniprotkb:HXB	MI:0493|psi-mi:"MI:0018"(two hybrid)	Jones PL et al. (1997)|Ljubimov AV et al. (2001)	pubmed:9314546|pubmed:11668187	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	psi-mi:"MI:0493"(association)|psi-mi:"MI:0018"(association)	psi-mi:"MI:0468"(HPRD)	-	miscore:0.43911052
uniprotkb:P08648	uniprotkb:P05106	-	-	uniprotkb:ITA5_HUMAN|uniprotkb:ITGA5|uniprotkb:FNRA	uniprotkb:ITB3_HUMAN|uniprotkb:ITGB3|uniprotkb:GP3A	MI:0493|MI:0493|MI:0493|MI:0493|MI:0493|MI:0493|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)	Pfaff M et al. (1993)|Akimov SS et al. (2000)|Smith JW et al. (1990)|Hayashi Y et al. (2002)|Liaw L et al. (1995)|Byzova TV et al. (1998)	pubmed:8387021|pubmed:10684262|pubmed:1694173|pubmed:12445830|pubmed:7532190|pubmed:9864377	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)	psi-mi:"MI:0468"(HPRD)	-	miscore:0.7653527
uniprotkb:P08648	uniprotkb:P02751	-	-	uniprotkb:ITA5_HUMAN|uniprotkb:ITGA5|uniprotkb:FNRA	uniprotkb:FINC_HUMAN|uniprotkb:FN1|uniprotkb:FN	MI:0493|MI:0493|MI:0493|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)|MI:10010|MI:0022	Burke-Gaffney A et al. (2002)|Zhao T et al. (2001)|Lee JL et al. (2004)|Hoshijima M et al. (2006)|Trache A et al. (2005)|Busk M et al. (1992)	pubmed:11801679|pubmed:11149921|pubmed:14709558|pubmed:16457822|pubmed:16055535|pubmed:1532572	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:10010"(association)|psi-mi:"MI:0022"(association)	psi-mi:"MI:0468"(HPRD)|psi-mi:"MI:0471"(MINT)|psi-mi:"MI:0463"(GRID)	-	miscore:0.7919974
uniprotkb:P05556	uniprotkb:P26006	irefindex:2FKk9AhWYRSp7hJpMkAGPNvdc/Q9606	irefindex:kiWtYbZm/he5kFN78s3DCFe9wjA9606	uniprotkb:ITB1_HUMAN|uniprotkb:ITGB1|uniprotkb:FNRB|uniprotkb:MDF2|uniprotkb:MSK12|uniprotkb:Fibronectin receptor subunit beta|uniprotkb:VLA-4 subunit beta|uniprotkb:itb1_human|intact:EBI-703066	uniprotkb:ITA3_HUMAN|uniprotkb:ITGA3|uniprotkb:MSK18|uniprotkb:Galactoprotein B3|uniprotkb:VLA-3 subunit alpha|uniprotkb:FRP-2|uniprotkb:CD49 antigen-like family member C|uniprotkb:ita3_human|intact:EBI-2550768	MI:0000|MI:0493|MI:0493|MI:0493|MI:0493|MI:0493|MI:0493|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)|psi-mi:"MI:0018"(two hybrid)|MI:10010|psi-mi:"MI:0364"(inferred by curator)	Hemler ME et al. (1987)|Park KR et al. (2000)|Berditchevski F et al. (1997)|Rodrigues RG et al. (2001)|Akimov SS et al. (2000)|Sterk LM et al. (2000)|Hayashi Y et al. (2002)|Dominguez-Jimenez C et al. (2001)|Dorfleutner A et al. (2004)	pubmed:3546305|pubmed:10694273|pubmed:9360995|pubmed:11358957|pubmed:10684262|pubmed:10811835|pubmed:12445830|pubmed:11387256|pubmed:15254262|pubmed:14681455	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	psi-mi:"MI:0000"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0493"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:0018"(association)|psi-mi:"MI:10010"(association)|psi-mi:"MI:0364"(direct interaction)	psi-mi:"MI:0462"(BIND)|psi-mi:"MI:0468"(HPRD)|psi-mi:"MI:0463"(GRID)|psi-mi:"MI:0469"(intact)	intact:EBI-2550808	intact-miscore:0.31(free-text)|miscore:0.8911972
uniprotkb:P17301	uniprotkb:P21926	-	-	uniprotkb:ITA2_HUMAN|uniprotkb:ITGA2|uniprotkb:CD49B	uniprotkb:CD9_HUMAN|uniprotkb:CD9|uniprotkb:MIC3|uniprotkb:TSPAN29|uniprotkb:GIG2	MI:0493|psi-mi:"MI:0018"(two hybrid)	Scherberich A et al. (1998)|Longhurst CM et al. (1999)	pubmed:9812906|pubmed:10429193	taxid:9606(Homo sapiens)	taxid:9606(Homo sapiens)	psi-mi:"MI:0493"(association)|psi-mi:"MI:0018"(association)	psi-mi:"MI:0468"(HPRD)	-	miscore:0.43911052
